R498_3389207_1/86_8787-2	R498_6027001_1/60_8829-2	0
R498_3389207_1/86_8787-1	R498_3389207_1/86_8787-2	0
R498_6027001_1/60_8829-1	R498_6027001_1/60_8829-2	0
R498_3389207_1/86_8787-2	R498_5171269_1/169_10288-2	0
R498_3389207_1/86_8787-1	R498_3389207_1/86_8787-2	0
R498_5171269_1/169_10288-1	R498_5171269_1/169_10288-2	0
R498_3389207_1/86_8787-1	R498_5741692_1/23_12897-2	0
R498_3389207_1/86_8787-1	R498_3389207_1/86_8787-2	0
R498_5741692_1/23_12897-1	R498_5741692_1/23_12897-2	0
R498_3389207_1/86_8787-2	R498_5274331_1/7_10634-1	0
